UniProtKB:P01160	Natriuretic peptides A		GO:0043508		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR14066	protein		PMID:22399583	20190909
UniProtKB:P01138	Beta-nerve growth factor		GO:0000186		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR11589	protein		Reactome:R-HSA-169893	20181121
UniProtKB:P01137	Transforming growth factor beta-1 proprotein		GO:0043406		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11848	protein		PMID:18625725	20081119
UniProtKB:P01137	Transforming growth factor beta-1 proprotein		GO:0043552		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11848	protein		PMID:18625725	20081119
UniProtKB:P01135	Protransforming growth factor alpha		GO:0000187		HGNC	NCBITaxon:9606	IDA		PANTHER:PTHR10740	protein		PMID:11278323	20070521
UniProtKB:P01135	Protransforming growth factor alpha		GO:0045741		HGNC	NCBITaxon:9606	IDA		PANTHER:PTHR10740	protein		PMID:11278323	20070521
UniProtKB:P01135	Protransforming growth factor alpha		GO:0000187		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000077767|UniProtKB:P01135	PANTHER:PTHR10740	protein		PMID:21873635	20170228
UniProtKB:P01133	Pro-epidermal growth factor		GO:0000186		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P01132|ensembl:ENSMUSP00000029653	PANTHER:PTHR46513	protein		GO_REF:0000107	20190816
UniProtKB:P01133	Pro-epidermal growth factor		GO:0000187		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P01132|ensembl:ENSMUSP00000029653	PANTHER:PTHR46513	protein		GO_REF:0000107	20190816
UniProtKB:P01133	Pro-epidermal growth factor		GO:0007171		GOC	NCBITaxon:9606	IEA	GO:0030297	PANTHER:PTHR46513	protein		GO_REF:0000108	20190914
UniProtKB:P01133	Pro-epidermal growth factor		GO:0030297		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR46513	protein		PMID:9712850	20090406
UniProtKB:P01133	Pro-epidermal growth factor		GO:0043406		HGNC	NCBITaxon:9606	IDA		PANTHER:PTHR46513	protein		PMID:15611079	20070521
UniProtKB:P01133	Pro-epidermal growth factor		GO:0045741		HGNC	NCBITaxon:9606	IDA		PANTHER:PTHR46513	protein		PMID:15611079	20070521
UniProtKB:P01133	Pro-epidermal growth factor		GO:0045741		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR46513	protein		PMID:20353436	20181126
